id,label,score
33928532,2,1.456132735
32641482,2,1.456100277
35062324,2,1.455989699
33381929,2,1.455977047
34593760,2,1.455893816
34385271,2,1.455788361
34594851,2,1.455743759
33261716,2,1.45537957
33596272,2,1.45529557
35039730,2,1.455247515
32671350,2,1.455247515
33159807,2,1.455230397
32713376,2,1.455132833
35071172,2,1.45512153
34917536,2,1.455109451
34611698,2,1.455097873
32302953,2,1.455074539
34955519,2,1.455036791
33673923,2,1.455013165
32118643,2,1.455013061
33939271,2,1.455013016
34061757,2,1.455012741
33200593,2,1.454965941
35046518,2,1.454830512
35101013,2,1.454788718
33718849,2,1.454788718
33023638,2,1.454788718
32985046,2,1.454788718
35192659,2,1.454788718
32536478,2,1.454656999
33804828,2,1.454445712
34845078,2,1.454417851
34343191,2,1.454382659
34675561,2,1.454382659
33768439,2,1.454382659
34209616,2,1.454382659
33681113,2,1.454181829
34302370,2,1.454074017
34667519,2,1.454057456
34174873,2,1.454028937
34539093,2,1.453980329
34728822,2,1.453963658
33406644,2,1.453950678
34896846,2,1.453933409
32417882,2,1.453887346
33434378,2,1.45383698
34098184,2,1.45381282
32294270,2,1.453790782
33979566,2,1.453774865
32496292,2,1.453773189
34740619,2,1.453765329
34142649,2,1.453765329
35113846,2,1.453748339
34594850,2,1.453703546
34271187,2,1.453703512
32333915,2,1.453703512
32596898,2,1.453703505
33205222,2,1.453703505
35061148,2,1.453699353
33661862,2,1.453623472
34475024,2,1.453466359
34971822,2,1.453458992
35166946,2,1.453315981
34756072,2,1.45323783
33595508,2,1.45323783
34177738,2,1.453200068
34289335,2,1.45298437
32883926,2,1.452784517
34404691,2,1.452714253
34226219,2,1.452648726
33317764,2,1.452641111
34725833,2,1.45262236
33556807,2,1.452590964
34594763,2,1.452590964
34012410,2,1.452590964
34145016,2,1.452317973
34738553,2,1.452312162
34728695,2,1.452312162
32440973,2,1.452278968
32299477,2,1.452243571
34049776,2,1.452223924
33873008,2,1.452222878
34415941,2,1.452210613
33027755,2,1.452205973
34727923,2,1.452200483
32877491,2,1.452159576
34112047,2,1.452159555
34295848,2,1.452159555
34975559,2,1.452159555
34786552,2,1.452159549
33655222,2,1.452159549
33641268,2,1.452159549
34896795,2,1.452159549
33872645,2,1.452159549
34787498,2,1.452159549
32817598,2,1.452159549
34170629,2,1.452159547
32637987,2,1.452159543
33298533,2,1.452159543
33893501,2,1.452159104
33413717,2,1.45215872
34734153,2,1.452133437
34121087,2,1.452121118
32931439,2,1.452116177
32504463,2,1.452111437
33789919,2,1.452087536
32872116,2,1.45207363
35182619,2,1.452063039
34869107,2,1.452063039
34460132,2,1.451964852
33819176,2,1.451785169
34231186,2,1.451668288
32816590,2,1.451544075
32643111,2,1.451452826
33468602,2,1.451445081
34193433,2,1.451030266
32671688,2,1.450402832
33550406,2,1.450392591
35121363,2,1.450354775
34536427,2,1.450346687
33367852,2,1.450332215
34763751,2,1.450315238
34786866,2,1.450307252
34506578,2,1.450291441
34261567,2,1.45029142
33145962,2,1.45029142
34173137,2,1.450291413
33211682,2,1.450291413
33646831,2,1.450291411
33793457,2,1.450291411
32507360,2,1.450291411
34067405,2,1.450291411
32417951,2,1.450291411
32589149,2,1.450291411
34545796,2,1.450291409
34148952,2,1.450291409
32592788,2,1.450291409
32509258,2,1.450289573
32246905,2,1.450279862
34031469,2,1.450279862
32981116,2,1.4502527
35054289,2,1.450252612
34671341,2,1.450244988
32331344,2,1.450235647
34629794,2,1.450165089
34302225,2,1.450114352
34601734,2,1.449955965
34378324,2,1.449955875
32755344,2,1.449916589
35030366,2,1.449889372
33090983,2,1.449837401
32915764,2,1.449837401
34304364,2,1.449780451
33991349,2,1.449780451
34380806,2,1.449772025
33379386,2,1.449394582
34721120,2,1.449234895
32924946,2,1.449140991
35162262,2,1.448556484
32671007,2,1.448556484
32559451,2,1.448537041
32647891,2,1.448501187
33251975,2,1.448435987
32722042,2,1.448435987
33870766,2,1.448435987
32490524,2,1.448200434
35194372,2,1.448200434
34858937,2,1.447986587
34642649,2,1.447986587
34437579,2,1.447986587
34895580,2,1.447950456
34616411,2,1.447945919
35024029,2,1.447940563
33339547,2,1.447935728
32856328,2,1.447935726
32604014,2,1.447935722
34790472,2,1.447935722
34207055,2,1.447935722
33180757,2,1.447935722
32319956,2,1.447935722
34953526,2,1.447935722
34469285,2,1.447935722
33207152,2,1.447935722
32955081,2,1.447935722
33213239,2,1.447935722
32296824,2,1.447935722
32363406,2,1.447935722
34517887,2,1.447935722
32502389,2,1.447935722
34675699,2,1.447935722
34594938,2,1.447935722
35095123,2,1.447935722
33689178,2,1.447935722
33912312,2,1.447935722
34781901,2,1.447935722
35064505,2,1.447935722
35132288,2,1.447935722
32412542,2,1.447935722
33560862,2,1.447935722
33680366,2,1.447935722
34900888,2,1.447935722
34847149,2,1.447935722
33782395,2,1.447935722
34659425,2,1.447935722
34044152,2,1.447935722
33987731,2,1.447934996
35071267,2,1.447933996
34975620,2,1.447928661
